re	z	escala[Kpc/"]	log[Z/H]	errm	age	erra	gradmet	errgm	gradage	errge 
6.98	0.09	1.679		0.18		0.049	8.9	1.1	-0.115	0.08	0.004	0.061
7.22	0.094	1.746		0.17		0.049	6.4	1.1	0.028	0.094	0.019	0.162
8.43	0.072	1.372		-0.003		0.032	16.4	1.1	0.092	0.042	-0.197	0.066
5.07	0.083	1.561		0.235		0.021	5.8	1.1	-0.414	0.158	0.054	0.116
5.84	0.041	0.810		0.163		0.097	12.6	1.3	-0.054	0.225	-0.134	0.092
8.82	0.082	1.544		0.132		0.039	9.6	1.1	-0.171	0.09	0.03	0.036
4.83	0.083	1.561		0.02		0.068	13.2	1.2	0.05	0.026	-0.091	0.102
5.17	0.077	1.458		0.121		0.069	7.1	1.2	-0.213	0.221	0.135	0.119
5.76	0.037	0.735		0.084		0.029	8.8	1.1    -0.198	0.096	0.034	0.045	
